contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
QQQ270319C00285000,2026-05-08 17:20:32+00:00,285.0,433.98,437.8,441.68,0.0,0.0,2.0,3.0,0.7037077969360351,True,REGULAR,USD,call
QQQ270319C00295000,2026-04-16 13:34:20+00:00,295.0,354.0,428.29,432.17,0.0,0.0,1.0,1.0,0.6884796777343751,True,REGULAR,USD,call
QQQ270319C00300000,2026-03-30 19:47:35+00:00,300.0,272.5,405.0,410.0,0.0,0.0,3.0,10.0,1.0000000000000003e-05,True,REGULAR,USD,call
QQQ270319C00305000,2026-04-17 18:13:36+00:00,305.0,352.95,418.78,422.66,0.0,0.0,1.0,1.0,0.673404144897461,True,REGULAR,USD,call
QQQ270319C00315000,2026-03-30 20:01:59+00:00,315.0,258.66,391.0,395.5,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,call
QQQ270319C00325000,2026-03-16 14:26:09+00:00,325.0,291.34,334.41,338.28,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,call
QQQ270319C00330000,2026-03-30 13:44:23+00:00,330.0,251.12,376.5,381.5,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,call
QQQ270319C00340000,2026-03-25 19:18:49+00:00,340.0,264.49,367.0,372.0,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call
QQQ270319C00345000,2026-03-16 14:26:04+00:00,345.0,272.99,315.67,319.54,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,call
QQQ270319C00350000,2026-05-07 15:51:26+00:00,350.0,361.51,376.2,380.08,0.0,0.0,1.0,9.0,0.6106606317138674,True,REGULAR,USD,call
QQQ270319C00355000,2026-03-19 15:29:34+00:00,355.0,255.98,306.34,310.22,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,call
QQQ270319C00360000,2026-03-30 19:56:32+00:00,360.0,220.0,348.5,353.0,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,call
QQQ270319C00380000,2026-05-11 13:30:05+00:00,380.0,344.01,348.02,351.9,0.0,0.0,1.0,7.0,0.5723614541625978,True,REGULAR,USD,call
QQQ270319C00385000,2026-03-30 20:00:49+00:00,385.0,196.4,325.0,330.0,0.0,0.0,1.0,1.0,0.26807372558593745,True,REGULAR,USD,call
QQQ270319C00390000,2026-03-17 18:03:08+00:00,390.0,234.0,273.94,277.81,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,call
QQQ270319C00400000,2026-05-06 17:54:45+00:00,400.0,308.63,329.34,333.22,0.0,0.0,1.0,21.0,0.5481307394409182,True,REGULAR,USD,call
QQQ270319C00405000,2026-04-13 14:43:56+00:00,405.0,226.58,324.69,328.57,0.0,0.0,1.0,1.0,0.5422714230346681,True,REGULAR,USD,call
QQQ270319C00420000,2026-03-23 14:07:20+00:00,420.0,197.91,292.5,297.5,0.0,0.0,,1.0,0.33112241149902344,True,REGULAR,USD,call
QQQ270319C00425000,2026-05-13 16:23:25+00:00,425.0,305.37,306.16,310.04,115.86,61.136616,1.0,1.0,0.5194139855957032,True,REGULAR,USD,call
QQQ270319C00430000,2026-04-06 18:42:10+00:00,430.0,183.32,283.0,288.0,0.0,0.0,1.0,5.0,0.3289251678466796,True,REGULAR,USD,call
QQQ270319C00435000,2026-03-23 14:28:08+00:00,435.0,186.31,278.5,283.5,0.0,0.0,2.0,5.0,0.3320379296875,True,REGULAR,USD,call
QQQ270319C00440000,2026-04-21 17:15:04+00:00,440.0,226.43,292.34,296.23,0.0,0.0,1.0,2.0,0.5028431063842774,True,REGULAR,USD,call
QQQ270319C00445000,2026-03-10 18:41:38+00:00,445.0,190.79,224.03,227.9,0.0,0.0,,3.0,1.0000000000000003e-05,True,REGULAR,USD,call
QQQ270319C00450000,2026-05-05 15:45:34+00:00,450.0,252.29,283.18,287.07,0.0,0.0,6.0,21.0,0.5079547496032715,True,REGULAR,USD,call
QQQ270319C00455000,2026-04-30 16:27:32+00:00,455.0,230.07,278.62,282.5,0.0,0.0,6.0,7.0,0.5023395713806154,True,REGULAR,USD,call
QQQ270319C00460000,2026-04-23 16:47:10+00:00,460.0,219.18,274.06,277.94,0.0,0.0,2.0,15.0,0.49678542770385753,True,REGULAR,USD,call
QQQ270319C00465000,2026-05-11 13:30:04+00:00,465.0,265.4,269.52,273.4,0.0,0.0,1.0,6.0,0.49135335311889655,True,REGULAR,USD,call
QQQ270319C00470000,2026-05-07 17:27:03+00:00,470.0,259.32,264.99,268.87,15.790009,6.483804,2.0,11.0,0.485982313079834,True,REGULAR,USD,call
QQQ270319C00475000,2026-05-06 14:05:07+00:00,475.0,236.35,260.47,264.35,0.0,0.0,1.0,4.0,0.48065704895019534,True,REGULAR,USD,call
QQQ270319C00480000,2026-05-07 17:27:31+00:00,480.0,235.3,255.96,259.57,0.0,0.0,2.0,7.0,0.47343971389770506,True,REGULAR,USD,call
QQQ270319C00485000,2026-05-07 15:51:26+00:00,485.0,237.5,251.47,255.07,0.0,0.0,1.0,12.0,0.4682365188598633,True,REGULAR,USD,call
QQQ270319C00490000,2026-05-04 14:57:26+00:00,490.0,210.84,246.99,250.58,0.0,0.0,1.0,6.0,0.46306384109497073,True,REGULAR,USD,call
QQQ270319C00495000,2026-05-12 14:37:30+00:00,495.0,234.29,242.53,246.41,0.0,0.0,1.0,14.0,0.4600273724365235,True,REGULAR,USD,call
QQQ270319C00500000,2026-05-13 17:26:44+00:00,500.0,238.9,238.09,241.65,-0.7000122,-0.29215866,1.0,58.0,0.4529473651123047,True,REGULAR,USD,call
QQQ270319C00505000,2026-05-08 14:03:04+00:00,505.0,227.69,233.66,237.21,0.0,0.0,2.0,19.0,0.4480035668945312,True,REGULAR,USD,call
QQQ270319C00510000,2026-05-08 18:12:52+00:00,510.0,223.96,229.24,232.79,0.0,0.0,1.0,20.0,0.44313606185913085,True,REGULAR,USD,call
QQQ270319C00515000,2026-05-08 18:12:52+00:00,515.0,219.65,224.85,228.38,0.0,0.0,1.0,37.0,0.43828381546020506,True,REGULAR,USD,call
QQQ270319C00520000,2026-04-17 16:46:28+00:00,520.0,161.92,220.68,223.99,0.0,0.0,4.0,18.0,0.43350786224365234,True,REGULAR,USD,call
QQQ270319C00525000,2026-05-12 15:23:14+00:00,525.0,203.9,216.11,219.99,0.0,0.0,2.0,45.0,0.4310664804077149,True,REGULAR,USD,call
QQQ270319C00530000,2026-05-07 14:18:44+00:00,530.0,196.1,212.0,215.26,0.0,0.0,2.0,20.0,0.4241085421752929,True,REGULAR,USD,call
QQQ270319C00535000,2026-05-11 13:43:48+00:00,535.0,205.65,207.69,210.93,0.0,0.0,5.0,69.0,0.4195309512329102,True,REGULAR,USD,call
QQQ270319C00540000,2026-05-08 15:27:18+00:00,540.0,195.72,203.15,207.03,0.0,0.0,1.0,79.0,0.41739474212646477,True,REGULAR,USD,call
QQQ270319C00545000,2026-05-08 15:28:52+00:00,545.0,191.6,198.87,202.75,0.0,0.0,1.0,292.0,0.4129392202758788,True,REGULAR,USD,call
QQQ270319C00550000,2026-05-13 16:42:02+00:00,550.0,194.95,194.61,198.06,13.149994,7.2332196,2.0,313.0,0.40611098045349114,True,REGULAR,USD,call
QQQ270319C00555000,2026-05-11 18:33:55+00:00,555.0,192.91,190.38,193.82,0.0,0.0,1.0,49.0,0.40178515701293943,True,REGULAR,USD,call
QQQ270319C00560000,2026-05-12 15:09:22+00:00,560.0,176.7,186.17,189.2,0.0,0.0,1.0,754.0,0.39530786582946775,True,REGULAR,USD,call
QQQ270319C00565000,2026-05-06 18:58:00+00:00,565.0,164.24,181.98,185.01,0.0,0.0,1.0,399.0,0.39113462875366206,True,REGULAR,USD,call
QQQ270319C00570000,2026-05-13 16:01:21+00:00,570.0,175.41,177.82,180.83,-0.91999817,-0.52174795,1.0,342.0,0.38693087440490725,True,REGULAR,USD,call
QQQ270319C00575000,2026-05-13 15:38:16+00:00,575.0,171.62,173.69,176.69,8.619995,5.2883406,2.0,92.0,0.38285681846618647,True,REGULAR,USD,call
QQQ270319C00580000,2026-05-13 17:26:44+00:00,580.0,170.55,169.58,172.58,12.5,7.9088893,1.0,603.0,0.3788514263916015,True,REGULAR,USD,call
QQQ270319C00585000,2026-05-07 19:25:52+00:00,585.0,146.18,165.51,168.5,0.0,0.0,2.0,710.0,0.3748994395446777,True,REGULAR,USD,call
QQQ270319C00590000,2026-05-12 15:18:04+00:00,590.0,151.05,161.83,165.34,0.0,0.0,2.0,1331.0,0.37541823318481443,True,REGULAR,USD,call
QQQ270319C00595000,2026-05-13 19:40:08+00:00,595.0,159.61,157.44,160.42,4.9100037,3.1738873,2.0,2151.0,0.36711753494262694,True,REGULAR,USD,call
QQQ270319C00600000,2026-05-13 19:34:58+00:00,600.0,155.38,153.46,156.44,11.380005,7.902781,4.0,2154.0,0.3633715396881104,True,REGULAR,USD,call
QQQ270319C00605000,2026-05-12 14:04:40+00:00,605.0,143.7,149.51,152.49,0.0,0.0,1.0,2975.0,0.35966369102478024,True,REGULAR,USD,call
QQQ270319C00610000,2026-05-13 17:26:02+00:00,610.0,146.91,145.59,148.56,6.9100037,4.935717,19.0,1580.0,0.3559405837249755,True,REGULAR,USD,call
QQQ270319C00615000,2026-05-13 19:15:42+00:00,615.0,143.39,141.71,144.68,7.0899963,5.201758,3.0,180.0,0.352347174835205,True,REGULAR,USD,call
QQQ270319C00620000,2026-05-13 17:05:38+00:00,620.0,139.07,137.85,140.83,7.7700043,5.917749,4.0,99.0,0.34876902458190917,True,REGULAR,USD,call
QQQ270319C00625000,2026-05-11 19:47:25+00:00,625.0,132.76,134.04,137.01,0.0,0.0,6.0,723.0,0.34521376228332523,True,REGULAR,USD,call
QQQ270319C00630000,2026-05-12 14:00:28+00:00,630.0,124.0,130.26,133.23,0.0,0.0,1.0,1652.0,0.34171953453063963,True,REGULAR,USD,call
QQQ270319C00635000,2026-05-11 19:50:34+00:00,635.0,126.05,127.01,130.41,0.0,0.0,6.0,2405.0,0.34230699203491205,True,REGULAR,USD,call
QQQ270319C00640000,2026-05-13 15:45:23+00:00,640.0,120.1,122.82,125.79,8.349998,7.472035,5.0,993.0,0.3348836653900146,True,REGULAR,USD,call
QQQ270319C00645000,2026-05-13 17:11:30+00:00,645.0,120.42,119.68,123.05,7.169998,6.3311243,6.0,2009.0,0.3354711228942871,True,REGULAR,USD,call
QQQ270319C00650000,2026-05-13 17:38:31+00:00,650.0,116.35,115.54,118.54,6.8899994,6.294536,6.0,2309.0,0.3283453396606445,True,REGULAR,USD,call
QQQ270319C00655000,2026-05-13 16:29:38+00:00,655.0,112.03,111.97,114.94,5.199997,4.8675437,3.0,1701.0,0.3249808103179931,True,REGULAR,USD,call
QQQ270319C00660000,2026-05-13 17:25:40+00:00,660.0,109.57,108.46,111.44,7.5699997,7.4215684,4.0,1883.0,0.3218909364318847,True,REGULAR,USD,call
QQQ270319C00665000,2026-05-13 19:40:08+00:00,665.0,107.21,105.07,107.94,7.529999,7.554172,1.0,2233.0,0.3186637348175049,True,REGULAR,USD,call
QQQ270319C00670000,2026-05-13 19:40:02+00:00,670.0,103.11,101.56,104.51,6.5599976,6.7944045,4.0,4364.0,0.31557386093139644,True,REGULAR,USD,call
QQQ270319C00675000,2026-05-13 16:29:38+00:00,675.0,98.47,99.11,101.25,5.330002,5.72257,4.0,1191.0,0.3130256686401367,True,REGULAR,USD,call
QQQ270319C00680000,2026-05-13 19:40:02+00:00,680.0,96.49,94.86,97.78,7.239998,8.112042,10.0,1152.0,0.3094704063415527,True,REGULAR,USD,call
QQQ270319C00685000,2026-05-13 16:33:12+00:00,685.0,91.8,91.58,94.5,5.3199997,6.151711,2.0,134.0,0.3065331188201904,True,REGULAR,USD,call
QQQ270319C00690000,2026-05-13 17:19:15+00:00,690.0,89.96,88.35,91.27,6.459999,7.7365255,10.0,811.0,0.3036263485717773,True,REGULAR,USD,call
QQQ270319C00695000,2026-05-13 17:17:17+00:00,695.0,86.22,85.18,88.09,11.220001,14.960002,3.0,829.0,0.3007500955963135,True,REGULAR,USD,call
QQQ270319C00700000,2026-05-13 18:26:31+00:00,700.0,83.84,82.06,84.9,9.729996,13.129127,138.0,1498.0,0.29767548034667957,True,REGULAR,USD,call
QQQ270319C00705000,2026-05-13 16:02:08+00:00,705.0,77.5,79.01,81.91,7.5,10.714286,8.0,469.0,0.29521121055603017,True,REGULAR,USD,call
QQQ270319C00710000,2026-05-13 19:43:27+00:00,710.0,77.81,76.01,78.91,5.6800003,7.874671,48.0,2712.0,0.2925256905364989,True,REGULAR,USD,call
QQQ270319C00715000,2026-05-13 17:27:28+00:00,715.0,74.82,73.71,76.86,1.3199997,1.795918,9.0,274.0,0.2933115103149413,False,REGULAR,USD,call
QQQ270319C00720000,2026-05-13 20:06:05+00:00,720.0,71.11,70.2,73.0,4.8199997,7.271081,57.0,575.0,0.28697917617797847,False,REGULAR,USD,call
QQQ270319C00725000,2026-05-13 20:14:53+00:00,725.0,69.29,67.39,70.24,10.670002,18.201982,11.0,781.0,0.2846751220703124,False,REGULAR,USD,call
QQQ270319C00730000,2026-05-13 20:14:53+00:00,730.0,66.59,64.64,67.49,9.149998,15.929662,8.0,2303.0,0.2822261109161377,False,REGULAR,USD,call
QQQ270319C00735000,2026-05-13 17:10:40+00:00,735.0,63.17,61.95,64.79,8.5,15.547833,1.0,3759.0,0.27978472908020013,False,REGULAR,USD,call
QQQ270319C00740000,2026-05-13 17:35:42+00:00,740.0,60.53,60.06,62.17,8.09,15.4271555,26.0,1394.0,0.2774501576995849,False,REGULAR,USD,call
QQQ270319C00745000,2026-05-13 18:38:28+00:00,745.0,58.63,57.43,60.56,9.700001,19.82424,6.0,1716.0,0.2787624004364013,False,REGULAR,USD,call
QQQ270319C00750000,2026-05-13 19:13:35+00:00,750.0,56.0,54.27,57.08,5.700001,11.332009,7.0,1715.0,0.2727657563018798,False,REGULAR,USD,call
QQQ270319C00755000,2026-05-13 19:59:47+00:00,755.0,53.08,52.54,54.64,8.760002,19.765348,355.0,1248.0,0.2705227367401123,False,REGULAR,USD,call
QQQ270319C00760000,2026-05-13 19:54:49+00:00,760.0,50.65,49.48,52.28,5.470001,12.10713,118.0,1545.0,0.2683865276336669,False,REGULAR,USD,call
QQQ270319C00765000,2026-05-13 19:54:50+00:00,765.0,48.29,47.9,50.99,8.25,20.604395,1177.0,765.0,0.2701565294647217,False,REGULAR,USD,call
QQQ270319C00770000,2026-05-13 19:54:50+00:00,770.0,46.09,44.96,47.74,5.220001,12.772208,9.0,2695.0,0.2641904026031494,False,REGULAR,USD,call
QQQ270319C00775000,2026-05-12 16:58:56+00:00,775.0,43.96,43.54,46.58,9.759998,28.538006,18.0,1782.0,0.2660901028442383,False,REGULAR,USD,call
QQQ270319C00780000,2026-05-13 19:54:50+00:00,780.0,41.91,40.71,43.49,4.9799995,13.48497,23.0,910.0,0.2602841916656494,False,REGULAR,USD,call
QQQ270319C00785000,2026-05-13 19:54:50+00:00,785.0,39.92,38.69,41.47,0.90999985,2.3327348,11.0,917.0,0.25842263801574716,False,REGULAR,USD,call
QQQ270319C00790000,2026-05-13 15:07:46+00:00,790.0,37.99,36.75,39.51,4.540001,13.572498,14.0,1983.0,0.25658397232055663,False,REGULAR,USD,call
QQQ270319C00795000,2026-05-13 19:54:50+00:00,795.0,36.14,34.85,37.63,4.7699986,15.2056055,8.0,2136.0,0.25485211708068856,False,REGULAR,USD,call
QQQ270319C00800000,2026-05-13 19:54:50+00:00,800.0,34.36,33.05,35.81,4.2700005,14.190763,119.0,4456.0,0.2531431497955323,False,REGULAR,USD,call
QQQ270319C00805000,2026-05-13 19:54:50+00:00,805.0,32.65,31.29,34.07,1.4900017,4.781777,30.0,4441.0,0.25154862228393554,False,REGULAR,USD,call
QQQ270319C00810000,2026-05-13 19:15:58+00:00,810.0,31.7,29.62,32.39,4.8100014,17.887695,13.0,3161.0,0.24997698272705077,False,REGULAR,USD,call
QQQ270319C00815000,2026-05-13 19:54:50+00:00,815.0,29.44,28.04,31.86,1.8100014,6.5508556,11.0,823.0,0.2530287100219727,False,REGULAR,USD,call
QQQ270319C00820000,2026-05-13 19:54:50+00:00,820.0,27.93,26.54,29.24,3.790001,15.700087,253.0,381.0,0.2470702124786377,False,REGULAR,USD,call
QQQ270319C00825000,2026-05-13 19:54:50+00:00,825.0,26.49,25.1,27.76,1.3099995,5.2025394,27.0,1488.0,0.24570456451416017,False,REGULAR,USD,call
QQQ270319C00830000,2026-05-13 19:54:50+00:00,830.0,25.1,23.73,26.35,6.67,36.19099,13.0,788.0,0.2444152097320557,False,REGULAR,USD,call
QQQ270319C00835000,2026-05-13 16:39:02+00:00,835.0,23.18,22.42,25.0,5.8999996,34.143513,5.0,1741.0,0.2431868894958496,False,REGULAR,USD,call
QQQ270319C00840000,2026-05-13 19:36:16+00:00,840.0,23.1,22.01,23.13,2.5100002,12.190385,7.0,350.0,0.23934934242248532,False,REGULAR,USD,call
QQQ270319C00845000,2026-05-13 17:49:48+00:00,845.0,21.19,19.99,23.54,3.7000008,21.15495,1.0,459.0,0.24581900428771972,False,REGULAR,USD,call
QQQ270319C00850000,2026-05-13 19:59:48+00:00,850.0,20.31,19.67,21.32,5.3099995,35.399998,47.0,349.0,0.23990628265380853,False,REGULAR,USD,call
